"사고유형별","도로종류별","월별","항목","단위","2019 년","2020 년","2021 년","2022 년","2023 년",
"횡단중","일반국도","전체","사고건수[건]","건","970","778","784","949","1002",
"횡단중","일반국도","전체","사망자수[명]","명","94","89","66","55","63",
"횡단중","일반국도","전체","부상자수[명]","명","933","739","759","947","1011",
"횡단중","일반국도","1월","사고건수[건]","건","67","83","50","88","67",
"횡단중","일반국도","1월","사망자수[명]","명","5","11","5","5","7",
"횡단중","일반국도","1월","부상자수[명]","명","64","74","45","91","68",
"횡단중","일반국도","2월","사고건수[건]","건","68","79","67","58","61",
"횡단중","일반국도","2월","사망자수[명]","명","8","5","5","1","1",
"횡단중","일반국도","2월","부상자수[명]","명","65","78","68","60","63",
"횡단중","일반국도","3월","사고건수[건]","건","83","61","59","69","107",
"횡단중","일반국도","3월","사망자수[명]","명","5","6","3","4","5",
"횡단중","일반국도","3월","부상자수[명]","명","84","59","58","71","108",
"횡단중","일반국도","4월","사고건수[건]","건","81","60","64","47","70",
"횡단중","일반국도","4월","사망자수[명]","명","8","5","7","4","3",
"횡단중","일반국도","4월","부상자수[명]","명","76","60","58","47","71",
"횡단중","일반국도","5월","사고건수[건]","건","84","63","67","93","71",
"횡단중","일반국도","5월","사망자수[명]","명","16","6","6","4","3",
"횡단중","일반국도","5월","부상자수[명]","명","75","61","66","92","74",
"횡단중","일반국도","6월","사고건수[건]","건","71","46","53","74","84",
"횡단중","일반국도","6월","사망자수[명]","명","6","4","2","5","6",
"횡단중","일반국도","6월","부상자수[명]","명","71","45","53","77","87",
"횡단중","일반국도","7월","사고건수[건]","건","75","68","46","77","62",
"횡단중","일반국도","7월","사망자수[명]","명","4","7","5","3","4",
"횡단중","일반국도","7월","부상자수[명]","명","75","66","44","80","59",
"횡단중","일반국도","8월","사고건수[건]","건","61","64","63","71","81",
"횡단중","일반국도","8월","사망자수[명]","명","9","11","4","3","4",
"횡단중","일반국도","8월","부상자수[명]","명","57","56","62","69","81",
"횡단중","일반국도","9월","사고건수[건]","건","74","57","87","85","102",
"횡단중","일반국도","9월","사망자수[명]","명","3","6","7","5","7",
"횡단중","일반국도","9월","부상자수[명]","명","75","58","82","81","101",
"횡단중","일반국도","10월","사고건수[건]","건","97","65","70","92","104",
"횡단중","일반국도","10월","사망자수[명]","명","10","8","10","9","8",
"횡단중","일반국도","10월","부상자수[명]","명","93","65","64","88","104",
"횡단중","일반국도","11월","사고건수[건]","건","109","73","93","95","93",
"횡단중","일반국도","11월","사망자수[명]","명","9","10","9","6","9",
"횡단중","일반국도","11월","부상자수[명]","명","106","68","93","94","94",
"횡단중","일반국도","12월","사고건수[건]","건","100","59","65","100","100",
"횡단중","일반국도","12월","사망자수[명]","명","11","10","3","6","6",
"횡단중","일반국도","12월","부상자수[명]","명","92","49","66","97","101",
"횡단중","지방도","전체","사고건수[건]","건","1180","832","790","846","728",
"횡단중","지방도","전체","사망자수[명]","명","60","51","34","32","32",
"횡단중","지방도","전체","부상자수[명]","명","1203","832","801","858","757",
"횡단중","지방도","1월","사고건수[건]","건","107","102","66","78","67",
"횡단중","지방도","1월","사망자수[명]","명","5","7","1","2","3",
"횡단중","지방도","1월","부상자수[명]","명","113","98","70","82","65",
"횡단중","지방도","2월","사고건수[건]","건","76","55","59","50","46",
"횡단중","지방도","2월","사망자수[명]","명","5","3","1","4","6",
"횡단중","지방도","2월","부상자수[명]","명","75","55","63","46","45",
"횡단중","지방도","3월","사고건수[건]","건","81","75","78","69","68",
"횡단중","지방도","3월","사망자수[명]","명","4","2","5","3","1",
"횡단중","지방도","3월","부상자수[명]","명","80","75","76","69","67",
"횡단중","지방도","4월","사고건수[건]","건","126","54","59","74","53",
"횡단중","지방도","4월","사망자수[명]","명","6","4","4","4","2",
"횡단중","지방도","4월","부상자수[명]","명","128","54","59","77","54",
"횡단중","지방도","5월","사고건수[건]","건","95","67","57","65","53",
"횡단중","지방도","5월","사망자수[명]","명","2","2","3","2","4",
"횡단중","지방도","5월","부상자수[명]","명","98","68","56","65","57",
"횡단중","지방도","6월","사고건수[건]","건","91","68","58","66","52",
"횡단중","지방도","6월","사망자수[명]","명","2","6","1","1","1",
"횡단중","지방도","6월","부상자수[명]","명","97","64","57","68","53",
"횡단중","지방도","7월","사고건수[건]","건","93","63","61","60","54",
"횡단중","지방도","7월","사망자수[명]","명","1","2","1","3","2",
"횡단중","지방도","7월","부상자수[명]","명","95","68","63","63","55",
"횡단중","지방도","8월","사고건수[건]","건","71","66","58","83","59",
"횡단중","지방도","8월","사망자수[명]","명","7","3","3","2","4",
"횡단중","지방도","8월","부상자수[명]","명","68","67","56","86","59",
"횡단중","지방도","9월","사고건수[건]","건","87","62","64","85","69",
"횡단중","지방도","9월","사망자수[명]","명","7","7","1","1","2",
"횡단중","지방도","9월","부상자수[명]","명","90","67","66","89","73",
"횡단중","지방도","10월","사고건수[건]","건","119","83","79","78","66",
"횡단중","지방도","10월","사망자수[명]","명","9","5","7","4","2",
"횡단중","지방도","10월","부상자수[명]","명","121","81","78","78","69",
"횡단중","지방도","11월","사고건수[건]","건","120","66","86","67","71",
"횡단중","지방도","11월","사망자수[명]","명","6","5","3","2","1",
"횡단중","지방도","11월","부상자수[명]","명","123","66","90","67","73",
"횡단중","지방도","12월","사고건수[건]","건","114","71","65","71","70",
"횡단중","지방도","12월","사망자수[명]","명","6","5","4","4","4",
"횡단중","지방도","12월","부상자수[명]","명","115","69","67","68","87",
"횡단중","특별광역시도","전체","사고건수[건]","건","8046","5693","5458","5625","5597",
"횡단중","특별광역시도","전체","사망자수[명]","명","204","161","148","140","124",
"횡단중","특별광역시도","전체","부상자수[명]","명","8369","5970","5655","5793","5837",
"횡단중","특별광역시도","1월","사고건수[건]","건","700","614","447","481","517",
"횡단중","특별광역시도","1월","사망자수[명]","명","34","16","10","17","11",
"횡단중","특별광역시도","1월","부상자수[명]","명","711","659","462","485","543",
"횡단중","특별광역시도","2월","사고건수[건]","건","534","547","402","391","400",
"횡단중","특별광역시도","2월","사망자수[명]","명","10","12","11","9","7",
"횡단중","특별광역시도","2월","부상자수[명]","명","552","560","412","409","421",
"횡단중","특별광역시도","3월","사고건수[건]","건","674","368","471","423","425",
"횡단중","특별광역시도","3월","사망자수[명]","명","19","7","12","4","12",
"횡단중","특별광역시도","3월","부상자수[명]","명","709","394","482","442","441",
"횡단중","특별광역시도","4월","사고건수[건]","건","737","433","493","469","473",
"횡단중","특별광역시도","4월","사망자수[명]","명","14","17","9","13","7",
"횡단중","특별광역시도","4월","부상자수[명]","명","769","439","523","481","495",
"횡단중","특별광역시도","5월","사고건수[건]","건","692","494","473","515","474",
"횡단중","특별광역시도","5월","사망자수[명]","명","19","15","15","13","10",
"횡단중","특별광역시도","5월","부상자수[명]","명","725","518","499","525","493",
"횡단중","특별광역시도","6월","사고건수[건]","건","610","493","437","466","433",
"횡단중","특별광역시도","6월","사망자수[명]","명","19","20","6","10","14",
"횡단중","특별광역시도","6월","부상자수[명]","명","621","513","454","490","454",
"횡단중","특별광역시도","7월","사고건수[건]","건","623","477","410","436","465",
"횡단중","특별광역시도","7월","사망자수[명]","명","13","15","12","10","7",
"횡단중","특별광역시도","7월","부상자수[명]","명","652","508","422","453","484",
"횡단중","특별광역시도","8월","사고건수[건]","건","619","445","392","408","396",
"횡단중","특별광역시도","8월","사망자수[명]","명","12","14","7","7","8",
"횡단중","특별광역시도","8월","부상자수[명]","명","647","472","407","429","408",
"횡단중","특별광역시도","9월","사고건수[건]","건","651","450","449","509","488",
"횡단중","특별광역시도","9월","사망자수[명]","명","22","15","18","16","11",
"횡단중","특별광역시도","9월","부상자수[명]","명","673","471","461","524","513",
"횡단중","특별광역시도","10월","사고건수[건]","건","739","470","481","519","478",
"횡단중","특별광역시도","10월","사망자수[명]","명","17","10","21","19","12",
"횡단중","특별광역시도","10월","부상자수[명]","명","765","488","502","521","502",
"횡단중","특별광역시도","11월","사고건수[건]","건","733","497","504","497","488",
"횡단중","특별광역시도","11월","사망자수[명]","명","13","13","8","13","9",
"횡단중","특별광역시도","11월","부상자수[명]","명","767","533","525","506","507",
"횡단중","특별광역시도","12월","사고건수[건]","건","734","405","499","511","560",
"횡단중","특별광역시도","12월","사망자수[명]","명","12","7","19","9","16",
"횡단중","특별광역시도","12월","부상자수[명]","명","778","415","506","528","576",
"횡단중","시도","전체","사고건수[건]","건","6425","4933","4718","4713","4727",
"횡단중","시도","전체","사망자수[명]","명","241","183","164","168","154",
"횡단중","시도","전체","부상자수[명]","명","6553","5084","4879","4849","4898",
"횡단중","시도","1월","사고건수[건]","건","539","542","369","414","393",
"횡단중","시도","1월","사망자수[명]","명","21","24","13","16","16",
"횡단중","시도","1월","부상자수[명]","명","544","548","375","423","402",
"횡단중","시도","2월","사고건수[건]","건","449","417","345","310","337",
"횡단중","시도","2월","사망자수[명]","명","14","15","10","16","11",
"횡단중","시도","2월","부상자수[명]","명","466","429","361","317","346",
"횡단중","시도","3월","사고건수[건]","건","509","315","372","327","352",
"횡단중","시도","3월","사망자수[명]","명","16","17","14","11","2",
"횡단중","시도","3월","부상자수[명]","명","519","310","376","333","375",
"횡단중","시도","4월","사고건수[건]","건","541","337","422","381","390",
"횡단중","시도","4월","사망자수[명]","명","24","12","9","14","7",
"횡단중","시도","4월","부상자수[명]","명","541","347","442","389","413",
"횡단중","시도","5월","사고건수[건]","건","510","404","400","430","426",
"횡단중","시도","5월","사망자수[명]","명","23","11","15","9","12",
